uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
7785399,3509,0,0,2706,45,78,611,54,10,0,18,1520899200,1.166666667,0.333333333,0.790876398,0,16,1
8560701,992,0,1,217,542,81,62,76,14,0,7,1531785600,0.5,0.166666667,0.92924963,1,17,0
9415721,1093,1,93,723,155,97,56,48,11,0,6,1549324800,1.6,1,0.879624816,1,15,2
238026,91,0,0,43,4,20,8,5,4,0,0,1267142400,0.571428571,0.214285714,0.958043693,2,17,0
284035,32,1,0,3,12,1,0,9,0,0,3,1273190400,0.214285714,0.142857143,0.91697964,1,17,0
621514,465,0,0,342,37,0,68,18,0,0,0,1331251200,0.666666667,0.5,0.804143932,1,17,0
1502427,580,0,0,465,53,1,29,31,1,0,0,1369958400,0.272727273,0.181818182,0.830417531,1,9,8
1884607,85,0,0,44,13,6,11,10,1,0,0,1389744000,0.1,0.1,0.989208452,2,17,0
2813555,167,13,0,40,72,4,16,32,0,0,5,1428451200,0.888888889,0.444444444,0.92897955,1,17,0
8687653,49,0,0,33,2,0,6,8,0,0,3.5,1534204800,0.2,0.2,0.937185626,1,16,0
11972521,929,0,0,697,37,18,106,60,7,0,1,1602460800,0.666666667,0.333333333,0.883675048,1,16,0
12023102,56008,23,0,48224,155,1172,6087,105,219,0,26,1603152000,2.333333333,0.333333333,0.895654726,1,16,0
12156703,957,0,0,659,98,35,96,63,6,0,9,1605052800,2,1,0.936720421,1,16,0
1071456,3433,0,0,1906,406,343,338,354,83,0,28,1353456000,0.363636364,0.272727273,0.946658697,1,5,11
1828980,9088,0,0,7456,93,63,1383,73,19,0,1,1386115200,0.5,0.3,0.914207115,1,16,0
1871024,947,0,1,504,103,21,62,253,2,0,34,1388966400,0.3,0.2,0.904308503,1,15,1
1957320,707,0,0,510,126,7,46,17,1,0,8.5,1393459200,0.4,0.1,0.864111189,1,15,1
3127402,182,0,0,121,9,6,20,24,1,0,0,1438819200,0.5,0.125,0.973667123,2,4,12
3325068,206,0,0,149,2,35,12,4,3,0,0,1445385600,0.125,0.125,0.847468377,1,16,0
4609991,3952,2,0,3317,49,51,493,41,1,0,2,1474416000,0.428571429,0.142857143,0.857863202,1,16,0
4784221,31,0,0,17,9,0,3,2,0,0,16,1477440000,1,0.285714286,0.867358702,1,16,0
5209463,892,2,0,209,448,91,54,75,9,0,36,1485475200,1.285714286,0.428571429,0.833250047,1,7,9
15664102,444,1,0,181,69,88,42,48,9,1,1,1650585600,4,1,0.909448777,1,5,10
19316510,3417,0,0,2434,342,92,325,211,12,0,71,1684454400,10,1,0.924111202,1,11,4
9078084,83,0,0,42,11,8,8,13,1,0,6,1541894400,1,0.6,0.913863732,1,13,2
10195287,346,0,0,215,9,0,34,87,0,0,3,1564617600,2.4,0.6,0.931838042,1,14,1
20074677,328,0,1,107,9,95,14,83,14,0,17,1691971200,12,1,0.883129269,1,10,5
12423264,5737,3,0,4733,16,2,959,27,0,0,37,1609545600,3.333333333,0.333333333,0.890700051,1,6,9
614189,430,0,0,292,8,7,44,67,11,0,20,1330560000,0.666666667,0.416666667,0.928115799,1,10,5
702735,5234,3,0,4113,431,83,438,161,14,0,0,1339545600,0.166666667,0.083333333,0.926525115,1,15,0
1439942,289,0,0,182,62,3,28,13,1,0,3,1368316800,0.363636364,0.090909091,0.704985881,1,9,6
2012943,77,0,0,57,8,0,11,1,0,0,0,1396396800,0.2,0.1,0.890776015,1,15,0
2275300,153,0,0,104,6,0,29,13,1,0,0,1408406400,0.666666667,0.333333333,0.827167041,1,14,1
3038240,643,0,1,437,66,55,52,28,3,0,3,1436140800,0.666666667,0.333333333,0.868105887,1,15,0
4335142,111,0,0,42,8,20,7,24,9,0,9,1469750400,1.125,0.5,0.786947487,1,11,4
13278706,774,0,0,581,14,2,132,37,0,0,4,1620432000,1.666666667,0.333333333,0.904489314,1,3,11
18248808,215,0,0,93,53,21,14,34,0,0,17,1673481600,3,1,0.765687334,0,1,13
8881269,90,1,0,64,4,0,10,12,0,0,24,1538006400,0.4,0.2,0.900761812,1,14,0
9040653,115,0,0,82,4,0,6,22,0,0,20,1541203200,0.8,0.2,0.888652837,1,1,13
9505276,2366,9,0,1879,9,1,390,85,0,0,7,1551830400,0.4,0.2,0.903489852,1,4,10
20473344,2823,0,0,2061,90,305,251,78,36,0,5,1697328000,5,1,0.863516125,1,10,4
20582144,1712,18,1,954,292,144,123,175,22,0,4,1699747200,5,1,0.919528643,1,1,13
20721255,14,1,0,0,0,0,0,10,0,0,19,1702944000,4,1,0.896948281,1,13,1
11008134,235,0,0,120,6,33,41,25,10,0,6,1586476800,1.25,0.75,0.956864643,2,4,10
870395,16,1,0,1,6,0,0,8,0,0,25,1347148800,0.272727273,0.181818182,0.881032827,1,11,3
1190329,310,0,0,216,32,9,38,15,0,0,18.5,1357516800,0.545454545,0.090909091,0.849343533,1,11,3
1328943,219,0,0,181,1,0,34,3,0,0,34,1365033600,0.272727273,0.181818182,0.945018739,1,5,9
